"d_r_uuid";"dws";"dns";"so";"version";"license_id"
"317aad06-7ed0-4744-a578-d3e0a9657ed1";"c019ab29f45a31e456dda5174791b935";"38f259e333b580340f80c463ecd8305f";"d41d8cd98f00b204e9800998ecf8427e";"1.4.2+20140406";34
"ffe52b02-597e-4ff7-9775-14a05a1c94a8";"a8ca1272252862556f7c99260633e94b";"8b9dc6391c1baa63ba8fab429144c796";"ebd50dbc1696618a4eaa9006ccdc1b37";"2.4-beta";34
"04b9fbf9-aca4-4dd0-b640-0860392541f0";"a94cc38072ab839992b37610b491078f";"76672a49a57e05daf2e1689ab66a1823";"d41d8cd98f00b204e9800998ecf8427e";"1.3.5";3
"4f0fb2c1-de88-415a-9c26-9682e1593bea";"ab412962926803b66b4aa518d0dae811";"8380f16716e22abc6541c7c2dfa9d274";"46b06cd5cea3792811603f023f493385";"2.1.3";45
"0e3ca7f9-b9fb-45a8-92a7-88abff6db958";"aca0a3e7991e621d093c31c8a9c0440e";"2690bfe8ac1fe726a446330c75f95ebe";"d41d8cd98f00b204e9800998ecf8427e";"rel/v2.0.0-temple-alpha-06";45
"54491e47-0c03-47a1-b91f-f202b84e8fec";"ad06643bcbf7825dc68c525c552c75ff";"4eee07d6b9552eafbaf6f4536353e0a8";"de26fa5d71f23b039c741b02c41629ca";"2.6.0-fuse-01-15";45
"7dd55640-3e4c-4f2f-b20b-619ef4ea4030";"b1cf0c3af1c6ca6388f47a26690a51a1";"5520a847ec1add2ecc2789f126b3f023";"2c59ea131d1a7a964f1b9c9f7ff2e460";"2.7.0.redhat-610394";45
"bdbfc949-a72e-4bc7-b5d7-2ab36c1478d8";"b1e873796620ba1942e9a2ef939cbc45";"fe8d56c3c50b5ffe17cdfc05ed572f7d";"b8d9b9e7412f490a9accb568aafbb449";"1.2.0";45
"b75cf889-449a-4aae-8bc8-084203d4cc9d";"b38e60f8c27fb5889031792e385f553a";"557d83f768a63ce9572feef87de9e47d";"d41d8cd98f00b204e9800998ecf8427e";"8.3.0.Beta2";11
"f0dcfa02-e659-4877-91bf-994ee08b8d0f";"b67719f5ea62c7815d0a26e2bb75b7eb";"1b84834dbc31f9feaecdb1405ba74f65";"d41d8cd98f00b204e9800998ecf8427e";"3.3.1.CR1";11
"679734a7-af20-465e-8c13-8339259c039e";"5e674af5d0f4dd0ed66cd952bca5620b";"64911507504fe1ade3337beea3bcca82";"aa58a16879f3078916ce825cad679547";"10.10.1";3
